BreakerId,ActiveEnergy,timestamp
1,16781,2026-02-23T16:08:11.620
2,433176,2026-02-23T16:08:11.622
3,1024010,2026-02-23T16:08:11.622
4,554371,2026-02-23T16:08:11.622
5,0,2026-02-23T16:08:11.622
6,12130,2026-02-23T16:08:11.622
